Reason_1,Reason_2,Reason_3,Reason_4,Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Month Value,Day of the Week,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
0,0,0,1,2015-07-07,289,36,33,239.554,7,1,30,0,2,1,4
0,0,0,0,2015-07-14,118,13,50,239.554,7,1,31,0,1,0,0
0,0,0,1,2015-07-15,179,51,38,239.554,7,2,31,0,0,0,2
1,0,0,0,2015-07-16,279,5,39,239.554,7,3,24,0,2,0,4
0,0,0,1,2015-07-23,289,36,33,239.554,7,3,30,0,2,1,2
0,0,0,1,2015-07-10,179,51,38,239.554,7,4,31,0,0,0,2
0,0,1,0,2015-07-17,361,52,28,239.554,7,4,27,0,1,4,8
0,0,0,1,2015-07-24,260,50,36,239.554,7,4,23,0,4,0,4
0,0,1,0,2015-07-06,155,12,34,239.554,7,0,25,0,2,0,40
0,0,1,0,2015-07-13,235,11,37,239.554,7,0,29,1,1,1,8
1,0,0,0,2015-07-20,260,50,36,239.554,7,0,23,0,4,0,8
1,0,0,0,2015-07-14,260,50,36,239.554,7,1,23,0,4,0,8
1,0,0,0,2015-07-15,260,50,36,239.554,7,2,23,0,4,0,8
1,0,0,0,2015-07-15,179,51,38,239.554,7,2,31,0,0,0,1
0,0,0,1,2015-07-15,179,51,38,239.554,7,2,31,0,0,0,4
1,0,0,0,2015-07-17,246,25,41,239.554,7,4,23,0,0,0,8
0,0,0,1,2015-07-17,179,51,38,239.554,7,4,31,0,0,0,2
0,0,1,0,2015-07-27,179,51,38,239.554,7,0,31,0,0,0,8
1,0,0,0,2015-07-30,189,29,33,239.554,7,3,25,0,2,2,8
0,0,0,1,2015-08-05,248,25,47,205.917,8,2,32,0,2,1,2
1,0,0,0,2015-08-12,330,16,28,205.917,8,2,25,1,0,0,8
1,0,0,0,2015-08-03,179,51,38,205.917,8,0,31,0,0,0,1
1,0,0,0,2015-08-10,361,52,28,205.917,8,0,27,0,1,4,40
0,0,0,1,2015-08-14,260,50,36,205.917,8,4,23,0,4,0,4
0,0,1,0,2015-08-17,289,36,33,205.917,8,0,30,0,2,1,8
0,0,0,1,2015-08-24,361,52,28,205.917,8,0,27,0,1,4,7
0,0,0,1,2015-08-04,289,36,33,205.917,8,1,30,0,2,1,1
0,0,0,1,2015-08-12,157,27,29,205.917,8,2,22,0,0,0,4
0,0,1,0,2015-08-19,289,36,33,205.917,8,2,30,0,2,1,8
0,0,0,1,2015-08-28,179,51,38,205.917,8,4,31,0,0,0,2
0,0,1,0,2015-08-17,179,51,38,205.917,8,0,31,0,0,0,8
0,0,1,0,2015-08-27,235,29,48,205.917,8,3,33,0,1,5,8
0,0,0,1,2015-08-27,235,11,37,205.917,8,3,29,1,1,1,4
0,0,1,0,2015-08-17,235,29,48,205.917,8,0,33,0,1,5,8
0,0,0,1,2015-08-17,179,51,38,205.917,8,0,31,0,0,0,2
0,0,0,1,2015-08-17,361,52,28,205.917,8,0,27,0,1,4,1
0,0,0,1,2015-08-04,289,36,33,205.917,8,1,30,0,2,1,8
1,0,0,0,2015-08-20,291,50,32,205.917,8,3,23,0,0,0,4
0,0,0,1,2015-08-21,235,29,48,205.917,8,4,33,0,1,5,8
0,0,0,1,2015-08-28,260,50,36,205.917,8,4,23,0,4,0,4
0,0,0,1,2015-09-01,184,42,27,241.476,9,1,21,0,0,0,2
0,0,0,1,2015-09-07,118,10,37,241.476,9,0,28,0,0,0,4
0,0,0,1,2015-09-01,179,51,38,241.476,9,1,31,0,0,0,4
0,0,1,0,2015-09-08,235,20,43,241.476,9,1,38,0,1,0,8
0,0,0,1,2015-09-09,155,12,34,241.476,9,2,25,0,2,0,2
0,0,0,1,2015-09-13,118,10,37,241.476,9,6,28,0,0,0,3
0,0,0,1,2015-09-14,179,51,38,241.476,9,0,31,0,0,0,3
0,0,0,1,2015-09-24,291,31,40,241.476,9,3,25,0,1,1,4
0,0,1,0,2015-09-04,260,50,36,241.476,9,4,23,0,4,0,8
1,0,0,0,2015-09-14,291,31,40,241.476,9,0,25,0,1,1,32
0,0,0,0,2015-09-21,260,50,36,241.476,9,0,23,0,4,0,0
0,0,0,0,2015-09-28,225,26,28,241.476,9,0,24,0,1,2,0
0,0,0,1,2015-09-08,225,26,28,241.476,9,1,24,0,1,2,2
0,0,0,1,2015-09-15,118,10,37,241.476,9,1,28,0,0,0,2
0,0,0,0,2015-09-22,289,36,33,241.476,9,1,30,0,2,1,0
0,0,0,0,2015-09-29,118,13,50,241.476,9,1,31,0,1,0,0
0,0,1,0,2015-09-16,225,26,28,241.476,9,2,24,0,1,2,3
0,0,0,1,2015-09-23,179,51,38,241.476,9,2,31,0,0,0,3
0,0,0,0,2015-09-30,369,17,31,241.476,9,2,25,0,3,0,0
0,0,0,1,2015-09-11,248,25,47,241.476,9,4,32,0,2,1,1
0,0,0,1,2015-09-18,179,51,38,241.476,9,4,31,0,0,0,3
0,0,0,1,2015-09-25,260,50,36,241.476,9,4,23,0,4,0,4
0,0,0,1,2015-10-06,179,51,38,253.465,10,1,31,0,0,0,3
0,0,0,1,2015-10-13,118,10,37,253.465,10,1,28,0,0,0,3
0,0,0,0,2015-10-14,118,13,50,253.465,10,2,31,0,1,0,0
0,0,0,1,2015-10-15,179,26,30,253.465,10,3,19,1,0,0,1
0,0,0,1,2015-10-16,179,51,38,253.465,10,4,31,0,0,0,3
0,0,0,1,2015-10-16,225,26,28,253.465,10,4,24,0,1,2,3
0,0,0,1,2015-10-06,118,10,37,253.465,10,1,28,0,0,0,3
0,0,0,1,2015-10-14,225,26,28,253.465,10,2,24,0,1,2,2
0,0,0,1,2015-10-21,248,25,47,253.465,10,2,32,0,2,1,2
0,0,0,1,2015-10-22,291,31,40,253.465,10,3,25,0,1,1,5
0,0,0,1,2015-10-21,179,51,38,253.465,10,2,31,0,0,0,8
0,0,0,1,2015-10-21,225,26,28,253.465,10,2,24,0,1,2,3
0,0,1,0,2015-10-22,260,50,36,253.465,10,3,23,0,4,0,16
1,0,0,0,2015-10-13,291,31,40,253.465,10,1,25,0,1,1,8
0,0,0,1,2015-10-20,225,26,28,253.465,10,1,24,0,1,2,2
0,0,0,1,2015-10-21,289,36,33,253.465,10,2,30,0,2,1,8
0,0,0,1,2015-10-23,361,52,28,253.465,10,4,27,0,1,4,1
0,0,0,1,2015-10-30,260,50,36,253.465,10,4,23,0,4,0,3
0,0,0,1,2015-11-05,179,51,38,306.345,11,3,31,0,0,0,1
0,0,0,1,2015-11-04,225,26,28,306.345,11,2,24,0,1,2,1
1,0,0,0,2015-11-05,179,51,38,306.345,11,3,31,0,0,0,8
0,0,1,0,2015-11-12,179,22,40,306.345,11,3,22,1,2,0,8
0,0,0,1,2015-11-19,291,31,40,306.345,11,3,25,0,1,1,5
1,0,0,0,2015-11-02,155,12,34,306.345,11,0,25,0,2,0,32
0,0,1,0,2015-11-09,189,29,33,306.345,11,0,25,0,2,2,8
1,0,0,0,2015-11-16,291,31,40,306.345,11,0,25,0,1,1,40
0,0,0,1,2015-11-18,225,26,28,306.345,11,2,24,0,1,2,1
1,0,0,0,2015-11-20,155,12,34,306.345,11,4,25,0,2,0,8
0,0,0,1,2015-11-18,225,26,28,306.345,11,2,24,0,1,2,3
0,0,1,0,2015-11-25,179,22,40,306.345,11,2,22,1,2,0,8
1,0,0,0,2015-11-20,225,26,28,306.345,11,4,24,0,1,2,3
0,0,0,1,2015-11-27,260,50,36,306.345,11,4,23,0,4,0,4
0,0,0,1,2015-11-02,248,25,47,306.345,11,0,32,0,2,1,1
0,0,0,1,2015-11-10,225,26,28,306.345,11,1,24,0,1,2,3
1,0,0,0,2015-11-11,289,36,33,306.345,11,2,30,0,2,1,24
0,0,0,1,2015-11-26,291,31,40,306.345,11,3,25,0,1,1,3
0,0,0,1,2015-12-01,248,25,47,261.306,12,1,32,0,2,1,1
0,0,1,0,2015-12-01,118,10,37,261.306,12,1,28,0,0,0,64
0,0,0,1,2015-12-02,118,13,50,261.306,12,2,31,0,1,0,2
0,0,0,1,2015-12-02,235,11,37,261.306,12,2,29,1,1,1,8
0,0,0,1,2015-12-03,225,26,28,261.306,12,3,24,0,1,2,2
0,0,0,1,2015-12-04,260,50,36,261.306,12,4,23,0,4,0,8
0,0,1,0,2015-12-08,118,10,37,261.306,12,1,28,0,0,0,56
0,0,1,0,2015-12-09,361,52,28,261.306,12,2,27,0,1,4,8
0,0,0,1,2015-12-10,225,26,28,261.306,12,3,24,0,1,2,3
0,0,0,1,2015-12-11,260,50,36,261.306,12,4,23,0,4,0,3
0,0,0,1,2015-12-15,225,26,28,261.306,12,1,24,0,1,2,2
0,0,1,0,2015-12-16,361,52,28,261.306,12,2,27,0,1,4,8
0,0,0,1,2015-12-11,118,10,37,261.306,12,4,28,0,0,0,2
0,0,1,0,2015-12-18,246,25,41,261.306,12,4,23,0,0,0,8
0,0,0,1,2015-12-18,225,26,28,261.306,12,4,24,0,1,2,2
0,0,0,1,2016-01-06,225,26,28,308.593,1,2,24,0,1,2,1
0,0,1,0,2016-01-04,118,10,37,308.593,1,0,28,0,0,0,1
0,0,0,1,2016-01-05,118,10,37,308.593,1,1,28,0,0,0,1
0,0,1,0,2016-01-05,155,12,34,308.593,1,1,25,0,2,0,8
0,0,0,1,2016-01-06,225,26,28,308.593,1,2,24,0,1,2,2
0,0,0,1,2016-01-07,184,42,27,308.593,1,3,21,0,0,0,2
0,0,0,1,2016-01-07,225,26,28,308.593,1,3,24,0,1,2,2
0,0,0,1,2016-01-08,225,26,28,308.593,1,4,24,0,1,2,1
0,0,0,1,2016-01-11,118,10,37,308.593,1,0,28,0,0,0,2
0,0,0,1,2016-01-12,225,26,28,308.593,1,1,24,0,1,2,2
0,0,0,1,2016-01-12,118,10,37,308.593,1,1,28,0,0,0,2
0,0,0,1,2016-01-13,118,10,37,308.593,1,2,28,0,0,0,2
0,0,0,1,2016-01-14,118,10,37,308.593,1,3,28,0,0,0,2
0,0,0,1,2016-01-15,118,10,37,308.593,1,4,28,0,0,0,2
0,0,0,1,2016-01-11,118,10,37,308.593,1,0,28,0,0,0,2
0,0,0,1,2016-01-12,118,10,37,308.593,1,1,28,0,0,0,2
0,0,1,0,2016-01-12,179,26,30,308.593,1,1,19,1,0,0,8
0,0,1,0,2016-01-12,289,36,33,308.593,1,1,30,0,2,1,8
0,0,0,1,2016-01-13,118,10,37,308.593,1,2,28,0,0,0,2
0,0,0,1,2016-01-21,184,42,27,308.593,1,3,21,0,0,0,2
0,0,0,1,2016-01-28,118,10,37,308.593,1,3,28,0,0,0,2
0,0,0,1,2016-01-25,118,10,37,308.593,1,0,28,0,0,0,0
0,0,0,1,2016-01-26,225,26,28,308.593,1,1,24,0,1,2,1
0,0,1,0,2016-01-28,289,36,33,308.593,1,3,30,0,2,1,3
0,0,0,1,2016-02-05,184,42,27,302.585,2,4,21,0,0,0,1
1,0,0,0,2016-02-03,246,25,41,302.585,2,2,23,0,0,0,8
1,0,0,0,2016-02-10,179,51,38,302.585,2,2,31,0,0,0,8
0,0,0,1,2016-02-11,155,12,34,302.585,2,3,25,0,2,0,2
0,0,0,1,2016-02-11,189,29,33,302.585,2,3,25,0,2,2,8
0,0,0,1,2016-02-12,260,50,36,302.585,2,4,23,0,4,0,2
0,0,1,0,2016-02-12,289,36,33,302.585,2,4,30,0,2,1,8
1,0,0,0,2016-02-08,388,15,50,302.585,2,0,24,0,0,0,8
1,0,0,0,2016-02-09,388,15,50,302.585,2,1,24,0,0,0,8
0,0,0,1,2016-02-15,225,26,28,302.585,2,0,24,0,1,2,2
0,0,0,1,2016-02-09,225,26,28,302.585,2,1,24,0,1,2,2
0,0,0,1,2016-02-16,179,26,30,302.585,2,1,19,1,0,0,1
0,0,0,1,2016-02-23,184,42,27,302.585,2,1,21,0,0,0,8
0,0,0,1,2016-02-25,225,26,28,302.585,2,3,24,0,1,2,3
0,0,1,0,2016-02-15,330,16,28,302.585,2,0,25,1,0,0,8
0,0,0,1,2016-02-16,330,16,28,302.585,2,1,25,1,0,0,1
0,0,0,1,2016-02-17,225,26,28,302.585,2,2,24,0,1,2,1
0,0,1,0,2016-02-25,189,29,33,302.585,2,3,25,0,2,2,8
0,0,0,1,2016-03-01,291,50,32,343.25300000000004,3,1,23,0,0,0,2
0,0,1,0,2016-03-01,260,50,36,343.25300000000004,3,1,23,0,4,0,8
0,0,1,0,2016-03-08,157,27,29,343.25300000000004,3,1,22,0,0,0,3
0,1,0,0,2016-03-15,179,22,40,343.25300000000004,3,1,22,1,2,0,8
0,0,1,0,2016-03-16,291,31,40,343.25300000000004,3,2,25,0,1,1,8
1,0,0,0,2016-03-02,260,50,36,343.25300000000004,3,2,23,0,4,0,8
1,0,0,0,2016-03-03,179,26,30,343.25300000000004,3,3,19,1,0,0,8
1,0,0,0,2016-03-04,248,25,47,343.25300000000004,3,4,32,0,2,1,3
1,0,0,0,2016-03-04,260,50,36,343.25300000000004,3,4,23,0,4,0,40
1,0,0,0,2016-03-07,179,22,40,343.25300000000004,3,0,22,1,2,0,40
1,0,0,0,2016-03-14,155,12,34,343.25300000000004,3,0,25,0,2,0,16
0,0,0,1,2016-03-21,260,50,36,343.25300000000004,3,0,23,0,4,0,16
1,0,0,0,2016-03-22,155,12,34,343.25300000000004,3,1,25,0,2,0,8
1,0,0,0,2016-03-24,289,36,33,343.25300000000004,3,3,30,0,2,1,8
1,0,0,0,2016-03-24,179,22,40,343.25300000000004,3,3,22,1,2,0,8
0,0,0,1,2016-03-25,260,50,36,343.25300000000004,3,4,23,0,4,0,4
0,0,0,1,2016-03-25,225,26,28,343.25300000000004,3,4,24,0,1,2,1
1,0,0,0,2016-03-28,279,5,39,343.25300000000004,3,0,24,0,2,0,8
1,0,0,0,2016-03-29,179,51,38,343.25300000000004,3,1,31,0,0,0,24
0,0,0,1,2016-03-30,225,26,28,343.25300000000004,3,2,24,0,1,2,2
1,0,0,0,2016-03-28,225,26,28,343.25300000000004,3,0,24,0,1,2,8
1,0,0,0,2016-03-28,179,26,30,343.25300000000004,3,0,19,1,0,0,1
1,0,0,0,2016-03-29,225,26,28,343.25300000000004,3,1,24,0,1,2,8
1,0,0,0,2016-03-30,225,26,28,343.25300000000004,3,2,24,0,1,2,16
1,0,0,0,2016-03-30,179,51,38,343.25300000000004,3,2,31,0,0,0,3
1,0,0,0,2016-03-17,279,5,39,343.25300000000004,3,3,24,0,2,0,16
0,0,0,1,2016-03-18,225,26,28,343.25300000000004,3,4,24,0,1,2,2
1,0,0,0,2016-03-25,248,25,47,343.25300000000004,3,4,32,0,2,1,3
0,0,0,1,2016-03-28,225,26,28,343.25300000000004,3,0,24,0,1,2,1
0,0,0,1,2016-04-06,291,31,40,326.452,4,2,25,0,1,1,1
0,0,0,1,2016-04-13,225,26,28,326.452,4,2,24,0,1,2,1
0,0,0,1,2016-04-12,155,12,34,326.452,4,1,25,0,2,0,1
1,0,0,0,2016-04-13,246,25,41,326.452,4,2,23,0,0,0,24
0,0,0,1,2016-04-14,155,12,34,326.452,4,3,25,0,2,0,1
0,0,0,1,2016-04-15,225,26,28,326.452,4,4,24,0,1,2,2
0,0,0,1,2016-04-15,260,50,36,326.452,4,4,23,0,4,0,4
1,0,0,0,2016-04-06,179,51,38,326.452,4,2,31,0,0,0,24
0,0,0,1,2016-04-07,118,13,50,326.452,4,3,31,0,1,0,1
0,0,0,1,2016-04-08,291,31,40,326.452,4,4,25,0,1,1,3
1,0,0,0,2016-04-08,246,25,41,326.452,4,4,23,0,0,0,8
0,0,0,1,2016-04-22,291,31,40,326.452,4,4,25,0,1,1,1
0,0,0,1,2016-04-29,248,25,47,326.452,4,4,32,0,2,1,8
0,0,1,0,2016-04-29,260,50,36,326.452,4,4,23,0,4,0,56
0,0,1,0,2016-04-26,289,36,33,326.452,4,1,30,0,2,1,8
1,0,0,0,2016-04-27,155,12,34,326.452,4,2,25,0,2,0,24
0,0,1,0,2016-04-27,378,49,36,326.452,4,2,21,0,2,4,8
1,0,0,0,2016-04-28,289,36,33,326.452,4,3,30,0,2,1,16
1,0,0,0,2016-04-08,235,11,37,326.452,4,4,29,1,1,1,3
0,0,0,0,2016-04-04,235,29,48,326.452,4,0,33,0,1,5,0
1,0,0,0,2016-05-04,289,36,33,378.884,5,2,30,0,2,1,8
0,0,0,1,2016-05-05,155,12,34,378.884,5,3,25,0,2,0,2
0,0,0,1,2016-05-02,155,12,34,378.884,5,0,25,0,2,0,1
0,0,1,0,2016-05-03,179,51,38,378.884,5,1,31,0,0,0,8
0,0,1,0,2016-05-03,225,26,28,378.884,5,1,24,0,1,2,8
1,0,0,0,2016-05-11,184,42,27,378.884,5,2,21,0,0,0,4
0,0,0,1,2016-05-09,155,12,34,378.884,5,0,25,0,2,0,2
1,0,0,0,2016-05-10,179,51,38,378.884,5,1,31,0,0,0,1
1,0,0,0,2016-05-04,289,36,33,378.884,5,2,30,0,2,1,24
0,0,0,0,2016-05-11,279,5,39,378.884,5,2,24,0,2,0,0
